t,price_usd_close,marketcap_realized_usd,lth_sum,sth_sum,rhodl_ratio,rcap_sma_zscore,rcap_upper,rcap_lower,sthlth_sma_meandev,sthlth_upper,sthlth_lower,rhodl_sma_maxmin,rhodl_upper,rhodl_lower
2024-04-17,61331.6803360844,560558468883.1688,823221247888.7456,200522211388.40912,3139.1477005974643,6.920547362599863,10.090281458723407,1.1105780117577266,0.24323427527406097,0.20419522873923962,0.1592960437284049,8.167164372404708,8.871252484620287,7.541445231042178
2024-04-18,63521.500028711096,561174975152.8314,852573037219.1139,208036103776.1534,3353.4737095161004,6.519723377391372,10.107905351489498,1.1599332198729986,0.24343619185078327,0.2049012362157023,0.15951386078682664,8.154174595574192,8.871252484620287,7.541445231042178
2024-04-19,64013.440650011675,561916122936.8043,859098975927.7946,210394662320.05203,3336.5473286676406,6.390028540927302,10.124382762710638,1.208854680366838,0.24372487508084134,0.2056090102686317,0.15973421546798788,8.139300841634247,8.871252484620287,7.541445231042178
2024-04-20,64900.55033938684,562071732184.7565,870837413546.7349,212864351090.5841,3363.1055278378262,6.292727995092642,10.139966425963992,1.2572792789685945,0.24395034307414962,0.2063178094839908,0.15995680787561528,8.127092063373372,8.871252484620287,7.541445231042178
2024-04-21,64949.46071605513,562326397500.8185,873032559281.1687,212985240139.30573,3217.674349718447,6.19038959398369,10.154693736822178,1.3045899797203164,0.24410719430359057,0.20702683472626865,0.16017880888394476,8.10678096058201,8.871252484620287,7.541445231042178
2024-04-22,66857.5356562364,562931991991.0022,898001861846.8223,219333745186.85287,3110.1624173912833,5.954921762616691,10.167829019817349,1.3497898909689852,0.24419684605597736,0.20773530967520204,0.16039880321235062,8.088760236183358,8.871252484620287,7.541445231042178
2024-04-23,66403.1484328433,563288953806.0059,891806890812.4993,217824480948.42017,3417.7985070162003,5.7406956993958715,10.179619669580093,1.3923866538074599,0.24419820685397928,0.20844222937849546,0.16061489007052673,8.09405239971442,8.871252484620287,7.541445231042178
2024-04-24,64267.784807425625,566077168622.5059,862423659684.8643,210718053762.4597,3994.06539798865,5.481716581094767,10.189911878783015,1.4320273062231301,0.24430535085128322,0.20914874110633871,0.16082716732226174,8.128460725253417,8.871252484620287,7.541445231042178
2024-04-25,64509.80033896809,566302427681.1158,867269520335.6208,211645099743.73495,3822.673235628381,5.178637045864444,10.1986032255153,1.4682997976370977,0.2443091248159564,0.20985367107229036,0.16103515732616042,8.14716833110533,8.871252484620287,7.541445231042178
2024-04-26,63787.11946301585,566447803574.245,856729453146.8274,209402385196.6121,3880.305683679176,4.850960392816124,10.205726676467458,1.5008978745422805,0.2442404287927054,0.21055619239002035,0.16123907024938386,8.168736530619602,8.871252484620287,7.541445231042178
