t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,Price Momentum,Spot CVD Bias,Spot Volume Momentum,aggregate_indicator_equalweight,aggregate_indicator_PCA
2022-10-11,19049.863257946297,-12776156.644607246,8922381766.966629,0.21330311577824546,-0.5894042461355901,-1.0,-0.45870037678578157,-0.23421818055983346
2022-10-12,19157.540765846337,33945030.67540102,8075496383.500587,0.10037269977302476,-0.44141304632178846,-1.0,-0.4470134488495879,-0.21850633766233407
2022-10-13,19385.411267196836,-102566283.09749237,14681106877.18705,0.16457731138519982,-0.5058112657413689,-0.9375753120279904,-0.4262697554613865,-0.21544937797387742
2022-10-14,19186.282344027924,-96361112.91295066,13071364534.171232,0.11300572881063542,-0.26911531098857133,-0.8189203374743403,-0.3250099732174254,-0.12196665632450909
2022-10-15,19066.577628242096,-53226277.967252135,3906345046.642884,0.12322506312502224,-0.1808122223632106,-0.8083290293706954,-0.2886387295362946,-0.0738839464596388
2022-10-16,19266.889583766584,42742839.14882756,4483881947.4457245,0.35795137623657847,-0.11836986459075427,-0.7800997249808393,-0.1801727377783384,0.07318662570114731
2022-10-17,19552.72550516263,25372318.894865848,8326931483.414126,0.20608756469906253,0.15491009915447607,-0.749148527054649,-0.1293836210670368,0.131383859354401
2022-10-18,19338.522771006777,-91358926.88455725,10121734908.55007,-0.4142965527433382,0.07428305360324261,-0.704963715430171,-0.3483257381900889,-0.2118977472032878
2022-10-19,19137.395191910455,-77812149.5599926,7228930377.628103,-0.42706579726629457,-0.08903133127589213,-0.7289122848216041,-0.41500313778793024,-0.29797226844953595
2022-10-20,19050.92296687311,-95227070.70292228,8647265530.474762,-0.3724854277351116,-0.07517307137232421,-0.9297539218388878,-0.45913747364877455,-0.2722722317587617
2022-10-21,19175.577943532553,-72557150.65649,9629233040.614632,-0.03921281816385247,-0.030225265265933388,-1.0,-0.35647936114326195,-0.08890511774082333
2022-10-22,19207.513247208608,-26601175.203155976,3473173740.8930163,0.0806842019799896,0.14610273001438667,-1.0,-0.2577376893352079,0.0553648958167523
2022-10-23,19569.500491810795,83076568.40410963,5602662260.981792,0.33350184079488976,0.2316743788399882,-0.9579365681801817,-0.1309201161817679,0.22307170713545554
2022-10-24,19342.95049774379,-164985519.47037226,9154687860.304136,0.39116308910457454,-0.17218696491754493,-0.9357622948768287,-0.23892872356326636,0.05745866105908526
